tvshow_code,show_name,seasonNumber,averageRating,numVotes
tt0050037,Maverick,4,7.621874999999999,35.09375
tt0050037,Maverick,5,7.6923076923076925,26.76923076923077
tt0050051,Perry Mason,1,8.27179487179487,185.7948717948718
tt0050051,Perry Mason,2,8.263333333333334,139.26666666666668
tt0050051,Perry Mason,3,8.384615384615381,117.46153846153847
tt0050051,Perry Mason,4,8.303571428571429,112.89285714285714
tt0050051,Perry Mason,5,8.19,112.83333333333333
tt0050051,Perry Mason,6,8.250000000000002,119.78571428571429
tt0050051,Perry Mason,7,8.163333333333332,110.8
tt0050051,Perry Mason,8,8.066666666666668,103.56666666666666
tt0050051,Perry Mason,9,8.063333333333334,104.0
tt0050053,The Real McCoys,1,7.966666666666668,12.102564102564102
tt0050053,The Real McCoys,2,7.594871794871796,10.435897435897436
tt0050053,The Real McCoys,3,7.492307692307692,8.282051282051283
tt0050053,The Real McCoys,4,7.510256410256411,7.512820512820513
tt0050053,The Real McCoys,5,7.46896551724138,7.586206896551724
tt0050053,The Real McCoys,6,6.606896551724139,5.724137931034483
tt0050073,Wagon Train,1,8.092307692307694,42.64102564102564
tt0050073,Wagon Train,2,8.265789473684206,40.421052631578945
tt0050073,Wagon Train,3,8.07027027027027,35.891891891891895
tt0050073,Wagon Train,4,7.915789473684209,26.605263157894736
tt0050073,Wagon Train,5,8.072972972972973,22.486486486486488
tt0050073,Wagon Train,6,7.916216216216217,16.35135135135135
tt0050073,Wagon Train,7,8.359374999999998,24.53125
tt0050073,Wagon Train,8,8.173076923076923,25.846153846153847
tt0050079,Zorro,1,8.010256410256412,31.487179487179485
tt0050079,Zorro,2,7.769230769230769,23.487179487179485
tt0050079,Zorro,3,7.9,20.5
tt0051247,77 Sunset Strip,1,7.958823529411764,31.970588235294116
tt0051247,77 Sunset Strip,2,7.808333333333335,26.27777777777778
tt0051247,77 Sunset Strip,3,7.67179487179487,21.871794871794872
tt0051247,77 Sunset Strip,4,7.741463414634146,21.390243902439025
tt0051247,77 Sunset Strip,5,7.488888888888888,20.97222222222222
tt0051247,77 Sunset Strip,6,7.119999999999999,22.8
